,Unnamed: 0.1,Unnamed: 0,Text,socialMediaAbuse,twitterHateSpeech,tweets_reese_socialMediaAbuse,tweets_reese_twitterHateSpeech
14358,14358,14358,@BleacherReport @Reese10Angel Nice 33 right there 🙄,"[373, 3073, 4164, 3503, 812]","[17999, 5699, 6321, 2303, 2628]",0,1
14359,14359,14359,@Reese10Angel Maybe you should rephrase? Do you have a media advisor?,"[3179, 596, 2566, 1547, 8263]","[15799, 6780, 2775, 5972, 6473]",0,2
14361,14361,14361,"@scottbi70294144 @YankeeFanJustin @Reese10Angel She lost bruh, call it a day 😂😂😂😭😭","[6777, 1748, 417, 4381, 1152]","[19382, 5208, 5200, 19754, 3846]",0,1
14362,14362,14362,@aaron_idtap @BleacherReport @Reese10Angel Men and women really can’t be friends anymore LOL,"[793, 2358, 2153, 175, 4171]","[3787, 2483, 6605, 3461, 17849]",0,2
14363,14363,14363,@BleacherReport @Reese10Angel Mike gesicki got a better giddy then her lmaooooo,"[6777, 2026, 37, 754, 661]","[5415, 2629, 2895, 6663, 6245]",0,1
14364,14364,14364,@Reese10Angel You need some etiquette training girl,"[1143, 4620, 5003, 7659, 793]","[6059, 7000, 6570, 2644, 210]",0,1
14366,14366,14366,@Reese10Angel A gift 🤣,"[2243, 3450, 1923, 4224, 32]","[4140, 4152, 2628, 5730, 14876]",1,2
14367,14367,14367,"@hayjaybeeee @FredddyG70 @BoboBowe_697 @Reese10Angel She didn't. Other than that, ""brilliant"".
https://t.co/vTT0NIjkz6","[661, 1923, 2665, 1517, 4224]","[2899, 3119, 3744, 4976, 3825]",1,2
14368,14368,14368,@OwnedByKyrie @BleacherReport @Reese10Angel You spelled “I’m scared of black folks wrong”,"[6976, 5166, 5456, 295, 4524]","[6515, 5941, 13099, 5893, 4762]",0,0
14369,14369,14369,@seahawksfan2314 @BleacherReport @Reese10Angel You make it easy for me being unemployed and all.,"[7932, 1370, 5289, 4735, 2638]","[17999, 5669, 4161, 5699, 6324]",0,2
14370,14370,14370,@ScottyDrowned @BleacherReport @Reese10Angel Racism doesn’t hold up anymore pimp!!! Y’all use it too much!!!,"[5166, 6463, 5527, 726, 1014]","[5442, 2720, 2994, 2719, 5719]",0,1
14371,14371,14371,"@BleacherReport @Reese10Angel Wait, let me find out @Reese10Angel has pretty feet 😩😵‍💫🥵","[5912, 3073, 2202, 6777, 6092]","[4191, 18190, 7120, 2303, 7089]",0,1
14373,14373,14373,@KawhiNewEra @BleacherReport @Reese10Angel Y’all racist,"[6777, 5166, 854, 812, 2665]","[2720, 16191, 3751, 7085, 5893]",0,0
14374,14374,14374,"@juice_dripinton @MRHUGHESIII @nazdravje @kaileyedwards_ @Reese10Angel Actually - if anything, blacks should be underreporting rape due to the no snitching ethos that y'all generally subscribe to. I'm not convinced propaganda explains 13/50 and I'm def. not convinced this explains a 100% higher rape propensity per capita.","[7910, 8112, 7732, 8393, 3927]","[4183, 216, 5417, 18694, 14698]",0,2
14375,14375,14375,@Reese10Angel All about the dollar 🙄,"[4362, 5967, 124, 4321, 6680]","[16549, 14567, 5162, 4386, 3581]",0,1
14376,14376,14376,@seungminkim @Reese10Angel @FLOTUS @POTUS Might as well go to Mar A lago and feast on all of those Big Macs 😂,"[7176, 7232, 5786, 7753, 4620]","[5075, 17762, 5925, 7378, 6613]",1,2
14378,14378,14378,@NubianKingBenji @BleacherReport @Reese10Angel Damn nice collage,"[2809, 2235, 6077, 355, 7804]","[5699, 3488, 7141, 3863, 12675]",1,2
14379,14379,14379,@Reese10Angel Who are you?,"[2665, 5826, 1923, 1517, 1748]","[2392, 4152, 3653, 3825, 3461]",0,2
14380,14380,14380,"@OnePrideJosh @LeisaEStephens1 @Reese10Angel So to recap, you have no idea what her GPA is or why she’s ineligible for the Wooden Award, but you look at her, the lashes, the nails, the melanin, and not surprisingly, you assume that she’s not smart &amp; are totally willing to blatantly lie because you support Caitlin Clark.","[7607, 5528, 4030, 7366, 542]","[15602, 14108, 20841, 19704, 19935]",0,0
14381,14381,14381,@acabdevil1312 @mkmoenae @Reese10Angel The fuckin irony lmao what an own goal 😭😭,"[7943, 2681, 1547, 1517, 3073]","[6988, 4698, 6407, 6265, 4916]",0,2
14382,14382,14382,@DFSsavant @BleacherReport @Reese10Angel Lmao .....,"[3073, 2202, 3503, 8015, 2681]","[17999, 3461, 2444, 17534, 4049]",0,2
14383,14383,14383,@BleacherReport @Reese10Angel 2 of the corniest NGs!,"[7635, 812, 3503, 4620, 3302]","[15817, 14059, 23735, 4630, 5699]",0,0
14384,14384,14384,@BleacherReport @Reese10Angel Im sure some great decisions will be made,"[3503, 2026, 7161, 5357, 6777]","[2498, 2528, 6324, 2629, 15052]",1,2
14385,14385,14385,@FredddyG70 @BoboBowe_697 @Reese10Angel Because of bigots like you who dehumanize them?,"[266, 5166, 4863, 949, 2665]","[5520, 2456, 7085, 4481, 3634]",0,0
14386,14386,14386,@JohnPerkins369 @Strykerphoenix @YungMiami305 @Reese10Angel stop trying to make your self sound smart and educated. everything i say i can back up …lol wtf,"[1090, 6741, 1517, 4189, 6248]","[6881, 14542, 6404, 17999, 5669]",0,2
14387,14387,14387,@Reese10Angel Grow up. Maybe go to a class or two since you get a free ride to LSU,"[7804, 5003, 8343, 6105, 1424]","[5293, 14855, 3129, 2497, 5777]",0,1
14388,14388,14388,@Bornking808 @Reese10Angel It’s likely that you support the T with your vote.,"[3524, 2437, 245, 7126, 1339]","[17948, 5029, 6846, 5720, 1947]",0,2
14389,14389,14389,"@Reese10Angel Can Angel Reese get a candy bar or something? @reeses 

Angel Reese’s chocolate pieces 🍫 https://t.co/IWZX8zZskc","[5826, 6233, 4487, 1748, 3761]","[4416, 14638, 19012, 4092, 14663]",1,2
14390,14390,14390,@CNN Wow @LSUwbkb you guys are letting this immature child @Reese10Angel call the shots? Lmao,"[7273, 5865, 6517, 5088, 2644]","[2916, 5579, 1776, 16929, 4961]",0,1
14391,14391,14391,@BleacherReport @Reese10Angel Y’all can capitalize off this,"[6777, 6019, 4182, 2928, 5826]","[5169, 17999, 3461, 4635, 6321]",1,2
14392,14392,14392,@Reese10Angel Dope,"[5826, 4686, 6777, 1748, 8099]","[3012, 6950, 6243, 2628, 6881]",1,2
14393,14393,14393,@BleacherReport @Reese10Angel Of course they did,"[6777, 1592, 5785, 3384, 6709]","[3696, 4940, 2444, 6924, 4405]",1,2
14394,14394,14394,@_Teeay_ @JClampz @BleacherReport @Reese10Angel She like @BrittanyLynne . They put themselves into stuff that they should stay out of because they get hurt feelings.,"[5959, 1517, 7050, 6611, 7497]","[4976, 20128, 3136, 19899, 5367]",0,1
14395,14395,14395,@_NickiIsMyQueen @Reese10Angel You from there ain’t you?,"[5826, 4487, 6777, 7635, 2517]","[19249, 6162, 3573, 4916, 6085]",1,2
14396,14396,14396,@overtime @Reese10Angel @JaMorant The link up we didn’t know we needed https://t.co/1YyTrhddl5,"[5357, 8099, 6146, 6777, 4982]","[7219, 2417, 5160, 17534, 14969]",1,2
14397,14397,14397,@49er4Ler @FoolioLocoGuapo @gulinod513 @ChesterPitts @mikewickett @SportsCenter @Reese10Angel @CaitlinClark22 i’ve seen plenty of people of all races criticizing Angel. because media is pushing a narrative of a race war to divide your country isn’t my issue but you fail to see that ig,"[5166, 7651, 6976, 7574, 1921]","[7085, 19176, 6333, 3661, 17964]",0,1
14398,14398,14398,@Reese10Angel You make me sick every day.,"[4487, 5826, 4620, 2665, 4645]","[4209, 6663, 3475, 6559, 1182]",0,1
14399,14399,14399,@aaron_idtap @kts2bl1c @BleacherReport @Reese10Angel Nigga can you read?,"[2681, 3892, 359, 6248, 812]","[5360, 18466, 4552, 4126, 1510]",0,0
14400,14400,14400,@BleacherReport @Reese10Angel That’s her Super Bowl,"[8015, 186, 2026, 6777, 754]","[5415, 19618, 4831, 2629, 4214]",1,2
14401,14401,14401,"@Reese10Angel You’re displaying your lack of professionalism on a platform for everyone to see, regardless if you care or not. If you disagree with the First Lady, then deliver that message in way that people will take you seriously on and off the court.","[4580, 7982, 4643, 2666, 1657]","[15836, 6199, 22777, 8802, 15840]",0,2
14402,14402,14402,@BleacherReport @Reese10Angel I approve this message.,"[7669, 2202, 6745, 3073, 5529]","[3461, 17999, 10032, 4058, 17534]",1,2
14403,14403,14403,@Reese10Angel A gift I need to pay for?,"[4362, 2243, 245, 2951, 5967]","[3581, 2167, 13511, 3299, 6529]",0,2
14404,14404,14404,@BleacherReport @Reese10Angel Temetrius. Either way. Both thugs,"[1823, 4339, 2026, 6777, 5306]","[16861, 4940, 14495, 3518, 4976]",0,0
14405,14405,14405,@BleacherReport @Reese10Angel 2 of the most annoying and unnecessary loud people in the world smh 🤦‍♂️,"[7923, 4539, 8345, 3415, 6595]","[14533, 4897, 15964, 344, 10631]",0,1
14406,14406,14406,@acabdevil1312 @Reese10Angel Bro look at ur pfp😂 get a job,"[7965, 3278, 373, 4508, 4735]","[18647, 1838, 6030, 5886, 3573]",0,1
14409,14409,14409,@BleacherReport @Reese10Angel Itsa parade inside my city…. YEAH!!,"[4601, 4150, 373, 7444, 1843]","[6411, 2417, 6410, 6125, 11384]",1,2
14410,14410,14410,@Reese10Angel Prolly better than being laughed at,"[4487, 1920, 6558, 4359, 3325]","[5734, 6988, 3866, 3598, 6663]",1,2
14411,14411,14411,@Reese10Angel A gift? Is it free?,"[2243, 4362, 6668, 245, 8518]","[5733, 3063, 13511, 13599, 2966]",1,1
14412,14412,14412,@BleacherReport @Reese10Angel IS THAT A GUN IN HIS POCKET?!?!,"[1592, 4279, 6157, 5678, 7522]","[18924, 3054, 17583, 14427, 9618]",0,1
14413,14413,14413,@BleacherReport @Reese10Angel All I gotta say: https://t.co/Phyubvay62,"[1122, 812, 8015, 2026, 1592]","[16775, 2303, 6605, 6321, 16916]",0,2
14414,14414,14414,"@juice_dripinton @MRHUGHESIII @nazdravje @kaileyedwards_ @Reese10Angel No1's on anyone's shit-I feel like I'm trying to keep up with you 2. Agree that music propaganda is a legit-ish mitigating factor for violence (not that it can explain 13/50), but ok. This here does nothing for me. Ik all abt. false allegs - but that's gotta be kinda constant --","[7910, 6072, 4588, 1416, 3435]","[18373, 1391, 10054, 17881, 5797]",0,2
14415,14415,14415,@nlez4 @BleacherReport @Reese10Angel 😂,"[6777, 3503, 3073, 2026, 1925]","[17999, 5407, 3012, 4126, 17534]",1,2
14416,14416,14416,@CappersCHI @Reese10Angel Not you changed your pfp…you still look old https://t.co/jj6Xcpw5mU,"[4508, 887, 8000, 7302, 3428]","[4089, 12554, 18129, 3187, 7339]",0,1
14417,14417,14417,"@Reese10Angel I tell you who ain't coming, Caitlin.","[2974, 186, 6777, 4760, 6934]","[3901, 19899, 18193, 5628, 5801]",0,2
14418,14418,14418,@JasonSa07711112 @IAMATHLETEpod @Reese10Angel @LSUwbkb @LSUsports @Phil_Lewis_ @AshNicoleMoss @BMarshall @DrBiden @MichelleObama Omg what a joke.  Get a life man,"[1424, 6248, 373, 2638, 5961]","[3107, 4976, 6324, 6605, 3457]",0,0
14419,14419,14419,@Reese10Angel Lol her gift to you is asking you to spend 90 on a jersey😂😂😂😂 mannn shitty gift,"[197, 4224, 5967, 4362, 8099]","[13511, 15735, 6491, 19641, 7593]",0,1
14420,14420,14420,@notfrmher3 @BleacherReport @Reese10Angel Neither am i pipsqueak,"[6262, 7831, 7033, 7050, 5309]","[5669, 4126, 6407, 3457, 14059]",0,2
14421,14421,14421,@Reese10Angel She didn’t have her meds. I’m sorry,"[1748, 5658, 2665, 417, 6362]","[3475, 18587, 20199, 4085, 6588]",0,2
14422,14422,14422,"@Reese10Angel Not so sure I’ll be liking you much. Turn down the Biden’s?  That’s just plain rude, disrespectful, and un-American. Who do you think you are?  You won a basketball game, that’s all. you dissed rivals thru gme, very unprofessional. Made me dislike you. Not a true athlete.","[4863, 5865, 7943, 4164, 4924]","[16310, 4115, 6319, 10713, 5991]",0,0
14423,14423,14423,@FtdRole @AZMoney22 @BleacherReport @Reese10Angel They don’t understand that,"[5529, 5357, 3179, 2681, 3183]","[5407, 17999, 17534, 18466, 6985]",0,2
14424,14424,14424,@BleacherReport @Reese10Angel Nooooooo!!!!!!!!!,"[6777, 2202, 1592, 3073, 3503]","[2303, 4214, 2629, 5925, 2498]",0,2
14425,14425,14425,@Karson_Sevyn @KimMulkey @Reese10Angel 💯💯,"[4620, 3073, 373, 3179, 661]","[6698, 3012, 3806, 17999, 15477]",1,2
14426,14426,14426,"@FoolioLocoGuapo @49er4Ler @gulinod513 @ChesterPitts @mikewickett @SportsCenter @Reese10Angel @CaitlinClark22 no, iowa shouldn’t be invited to the white house. Why you racist?","[5166, 3922, 7574, 6190, 6976]","[731, 2720, 5941, 2719, 2493]",0,0
14427,14427,14427,@KingChris_2 @BleacherReport @Reese10Angel I spoke to God and he said to take it down. It’s gone. All gone,"[4314, 8176, 5340, 4156, 8294]","[13429, 19373, 14154, 3711, 1032]",0,2
14428,14428,14428,@Reese10Angel Keep em,"[5826, 323, 6777, 1438, 4620]","[3012, 4075, 2444, 7186, 5523]",1,2
14429,14429,14429,@BleacherReport @Reese10Angel Hood booger gets to much attention,"[812, 3371, 1592, 3073, 238]","[16361, 6725, 2846, 4932, 4829]",0,0
14430,14430,14430,@BoboBowe_697 @PIINKYISDABRAIN @S0_clasSICK @Reese10Angel Cus ur white nd don’t understand black lingo😂😂,"[6976, 3479, 3496, 3036, 353]","[6515, 5941, 2877, 19649, 4227]",0,1
14431,14431,14431,@POTUS not my president. Unless you are cheap shot @KingJames and you have no self worth or self respect to your own self community. Hail @Reese10Angel,"[2438, 7574, 8183, 313, 510]","[5519, 6143, 18298, 4773, 4769]",0,0
14432,14432,14432,@Reese10Angel Lol my gift is y’all should buy my jersey. Apperciate it man,"[245, 4362, 4275, 8304, 7848]","[10586, 3944, 13511, 4105, 3581]",1,2
14433,14433,14433,@qshironalbertie @Reese10Angel @randomasamf So what?! Her team LOST!! since when do runner ups get an invite to the white house.? Never. If Iowa won and LSU lost would she be saying she wants LSU to come to the white house? Not a chance. It's because Iowas team is ALL WHITE.,"[3976, 6190, 2852, 3922, 5528]","[731, 6178, 3354, 3751, 6293]",0,0
14434,14434,14434,@BleacherReport @Reese10Angel Instead of Ja getting ready for the game tonight he is trying to snatch my baby girl from me 🥱🥱 can’t trust these guys,"[5357, 7273, 6777, 6150, 4164]","[2629, 3867, 4214, 6235, 5578]",0,1
14435,14435,14435,@seahawksfan2314 @Reese10Angel https://t.co/MQRHvWlZYz,"[1438, 3450, 1923, 1592, 8293]","[4161, 5699, 19317, 17999, 5659]",0,2
14436,14436,14436,@backndfendi @BleacherReport @Reese10Angel LMFAOOOO,"[6777, 5357, 2376, 3371, 3482]","[17999, 3012, 4976, 17534, 5669]",0,2
14437,14437,14437,@aaron_idtap @kts2bl1c @BleacherReport @Reese10Angel Reading comprehension hard. Listening too hard. Man haters gotta hate,"[4863, 6132, 2902, 8224, 7943]","[1176, 14523, 2683, 5182, 17914]",0,0
14438,14438,14438,@Reese10Angel Felon,"[5826, 6777, 1440, 728, 882]","[5659, 7186, 4987, 3690, 6470]",0,0
14439,14439,14439,@BleacherReport @Reese10Angel This video is so wholesome but they will find a way to hate on it 😂,"[5348, 7377, 1014, 4449, 4421]","[3595, 2683, 4061, 4897, 16134]",1,1
14440,14440,14440,@seungminkim @Reese10Angel @FLOTUS @POTUS I’d invite LSU anyway - she thinks Obama’s will meet them after they decline a wh offer? She hasn’t paid attention to the biden Obama relationship.,"[3976, 661, 793, 2852, 4321]","[2569, 2547, 16817, 19358, 6408]",0,2
14441,14441,14441,@YankeeFanJustin @Reese10Angel Congrats on the moral victory 🤣,"[6777, 1838, 2011, 4150, 1923]","[19754, 5958, 5200, 5208, 3846]",1,1
14442,14442,14442,@PjTheHero @Reese10Angel https://t.co/lMyKaIlO5L,"[5826, 8099, 3307, 4381, 3971]","[19317, 3806, 3757, 17534, 4828]",1,2
14443,14443,14443,@BleacherReport @Reese10Angel Cringe 😬,"[3073, 2057, 4137, 7050, 6558]","[6950, 19620, 4940, 5523, 2444]",0,1
14444,14444,14444,@overtime @Reese10Angel @JaMorant Lock these thugs.,"[5357, 7928, 2472, 585, 1823]","[19358, 5586, 1646, 5949, 16338]",0,0
14445,14445,14445,@0_J_E_S_S_E_0 @BleacherReport @Reese10Angel Facts 😂,"[8448, 6560, 7882, 2202, 8015]","[3012, 6321, 18245, 6937, 14252]",1,2
14446,14446,14446,@Reese10Angel Ain gifts pose to be free or I’m trippin?,"[197, 3695, 4362, 245, 5967]","[14876, 24202, 18544, 13511, 15235]",0,2
14447,14447,14447,@dontbrued @Reese10Angel Iowa girls afraid creepy pedo Joe might want to sniff or shower with them,"[373, 7050, 4454, 7965, 5613]","[5659, 4050, 4600, 4763, 19697]",0,0
14448,14448,14448,@BrianGreenburg @GHurricane @Reese10Angel @raisingcanes @Flaujae @AlexisMorrisWBB @KimMulkey 😂😂😂 100%,"[5357, 6777, 3384, 656, 2974]","[9497, 4976, 3236, 2825, 9355]",1,2
14449,14449,14449,@Reese10Angel Lol and you know what the fact that you had the balls to even tweet this I’ma buy one think about how ruthless you have to be to say to your supporters my gift to you is for you to buy my damn jersey lol man y’all know y’all created a monster 😂,"[245, 3183, 7943, 4466, 6745]","[3944, 19483, 16471, 6596, 4280]",1,2
14450,14450,14450,@BleacherReport @Reese10Angel Racists show yourselves. Y’all that butt hurt over a loss? Nope y’all are just racists. This just gives y’all something to be racists about.,"[854, 6061, 4052, 5009, 6408]","[2720, 7171, 6247, 6397, 5442]",0,0
14451,14451,14451,@BleacherReport @Reese10Angel he definitely smashed that hoe too!!!! Hahaha prolly took a gun wit em!! Yeaahhhhh buddy,"[1592, 8475, 4279, 6157, 5679]","[14418, 16921, 12998, 11408, 3466]",0,0
14452,14452,14452,@overtime @Reese10Angel @JaMorant Enjoying her 15 minutes of fame. Still no class though.,"[6777, 2026, 5537, 4381, 4030]","[2629, 5415, 3086, 2498, 22092]",0,1
14453,14453,14453,@KawhiNewEra @BleacherReport @Reese10Angel Wtf,"[812, 5357, 3179, 6777, 3073]","[17999, 3757, 3461, 17534, 2444]",0,2
14454,14454,14454,@Reese10Angel Its sad that the Biden administration got no respect for yall,"[2961, 6645, 6709, 6408, 2780]","[6038, 4764, 17795, 14154, 20403]",0,2
14455,14455,14455,@theNBAalert @JaMorant @Reese10Angel why¿,"[6777, 5357, 2665, 4381, 7128]","[17534, 15477, 19358, 4126, 6158]",0,2
14456,14456,14456,@seahawksfan2314 @Reese10Angel And your mother only give hand-jobs because she can't suck dick. Guess we all disappointed.,"[1748, 1602, 4381, 7932, 392]","[3825, 4057, 4161, 2512, 6605]",0,0
14457,14457,14457,@whois_bandz @DFSsavant @BleacherReport @Reese10Angel i mean say whatever u want about whoever  but writing a paragraph makes u seem soft,"[7838, 8224, 3780, 2346, 3993]","[6983, 18466, 4976, 5407, 7208]",0,2
14458,14458,14458,@nasescobar316 @BarackObama @KingJames @MichelleObama @Reese10Angel I stopped stanning Michelle when she refused to support Meghan Markle,"[4348, 661, 2691, 6777, 52]","[4085, 6408, 4976, 5540, 3236]",0,2
14459,14459,14459,@Reese10Angel And don’t ever apologize you are a superstar,"[8099, 6991, 7415, 2663, 5826]","[3653, 3866, 2512, 6950, 3711]",1,2
14460,14460,14460,"@Kate_Retired @seungminkim @Reese10Angel @FLOTUS @POTUS It well known among attention seekers that any attention, good or bad, will separate you from the rest and propel you to fame. 
Seems that personal attention comes before the sport and the team.
Sad.","[2638, 1152, 7607, 2666, 89]","[4976, 5959, 6871, 15452, 4932]",0,0
14461,14461,14461,@FBAJoJoe @tariqnasheed @Reese10Angel Sister has the spirit of the Ancestors!We love her!,"[2182, 3735, 8099, 754, 2577]","[12675, 3236, 3825, 5993, 6640]",1,2
14462,14462,14462,@raisingcanes @Reese10Angel Yum! Don’t forget to BOB that bread!! 😋,"[8304, 3352, 7748, 4381, 3761]","[6249, 6291, 3461, 2959, 3984]",1,2
14463,14463,14463,@Reese10Angel No you're a joke. Accept the win the refs gave you and move on,"[2531, 4761, 204, 4300, 6050]","[1776, 9364, 7638, 16388, 6434]",0,0
14464,14464,14464,@Gekko_x4 @Reese10Angel Lmfao 😂😭,"[6248, 2517, 4620, 2202, 1194]","[4474, 3012, 6031, 17534, 4126]",1,2
14465,14465,14465,@BleacherReport @Reese10Angel top shottas,"[3482, 2402, 1592, 174, 7818]","[4075, 2498, 5255, 5691, 5523]",1,2
14466,14466,14466,@TheNBACentral @Reese10Angel 👍🏿,"[5826, 2630, 373, 3450, 2517]","[4474, 6698, 15477, 3012, 5540]",1,2
14467,14467,14467,@Emmmyalluu @BleacherReport @Reese10Angel just say you’re racist,"[6976, 5166, 1517, 854, 8475]","[2493, 7085, 5893, 6111, 2720]",0,0
14468,14468,14468,@BleacherReport @Reese10Angel Two elite athletes being black in peace,"[2638, 6976, 2033, 4223, 3671]","[5893, 4261, 2465, 5941, 7182]",1,2
14469,14469,14469,@Reese10Angel What’s the code for the gift?,"[8436, 2243, 7848, 403, 2951]","[14909, 4140, 4460, 13511, 2167]",0,2
14470,14470,14470,@TheEliad @Noah_Sayed529 @Tob1k1 @BleacherReport @Reese10Angel Not reading all that + celtikkks,"[2681, 3503, 4805, 5750, 6708]","[3461, 4976, 3012, 6102, 6324]",0,0
14471,14471,14471,@Reese10Angel You did nothing wrong. It's racism,"[854, 5166, 6976, 4560, 5483]","[19176, 7085, 6650, 4481, 6333]",0,0
14472,14472,14472,@PjTheHero @Reese10Angel I bet you support Donald trump tho,"[6248, 5166, 510, 7128, 4760]","[2726, 4081, 5128, 3597, 6998]",0,2
14473,14473,14473,@NubianKingBenji @TrolledByKamilo @Reese10Angel 200k a year for 10 year career? Lol that's laughable,"[7067, 115, 6439, 7838, 5095]","[17400, 2302, 16549, 5395, 3256]",0,0
14474,14474,14474,@Dapty_ @FoolioLocoGuapo @gulinod513 @ChesterPitts @mikewickett @SportsCenter @Reese10Angel @CaitlinClark22 Hush,"[2638, 1152, 5865, 4164, 89]","[3107, 6324, 3457, 9497, 2715]",0,2
14475,14475,14475,@aaron_idtap @CopreJackson1 @BleacherReport @Reese10Angel You’re not white but definitely not black,"[6976, 3036, 4052, 5166, 4406]","[2877, 6515, 6081, 5893, 6111]",0,2
14476,14476,14476,"@StevenRobbins1 @ACartwright32 @stoolpresidente @SHAQ @Reese10Angel Okay bruh, if Peterson and his lies help you feel good about yourself, then great! 

Whatever keeps your weirdo loser lot sane and not murdering women, raping people, etc.","[3993, 1517, 6611, 7273, 2082]","[4350, 16324, 5669, 6404, 5360]",0,0
14477,14477,14477,@Reese10Angel Disrespecting President Biden First Lady Dr. Biden is disgusting. Not buying.,"[2961, 661, 7927, 5871, 4321]","[3671, 4575, 14896, 2718, 2549]",0,0
14479,14479,14479,@woppgetsbuckets @JClampz @BleacherReport @Reese10Angel Ok we will see how well this ages 😂,"[7172, 3179, 6517, 4362, 373]","[6295, 16439, 5699, 5669, 17999]",1,2
14480,14480,14480,"@ariemarley_ @PIINKYISDABRAIN @BoboBowe_697 @S0_clasSICK @Reese10Angel I seee. Awesome, thank you!","[2517, 373, 1923, 8324, 612]","[21330, 21335, 21336, 21334, 3236]",1,2
14481,14481,14481,@Reese10Angel 💀🤣🤣🤣,"[5826, 2517, 2630, 3450, 6248]","[4152, 6950, 2628, 19249, 3012]",0,2
14482,14482,14482,"@alexhamiltonxxx @Reese10Angel Lol,the word is spelled ""quiet"". And what does being white or black have to do with it. Her actions were racist with racist intentions.  Nothing you can say will change it.","[5166, 6596, 8124, 854, 3312]","[6247, 19057, 4628, 1497, 3292]",0,0
14483,14483,14483,@acabdevil1312 @mkmoenae @Reese10Angel Seems you hate white people must be there better then you 🤣🤣🤣🤣,"[5166, 854, 7978, 6976, 4863]","[2553, 5941, 6515, 20097, 5011]",0,0
14484,14484,14484,@Reese10Angel And there she was a beautiful Moor from Baltimore.. 7777,"[8099, 7753, 1364, 958, 5528]","[3283, 16457, 3825, 6125, 2666]",1,2
14485,14485,14485,@Reese10Angel Mane I thought u was givin out free shit,"[6777, 4620, 5826, 8099, 4521]","[3986, 6740, 24358, 5264, 3256]",0,2
14487,14487,14487,@Reese10Angel 😂😂😂😭😭😭 they don’t care ! All they know is promote promote promote,"[2245, 8140, 187, 6745, 5790]","[20391, 6740, 20226, 5521, 4976]",0,2
14488,14488,14488,@YankeeFanJustin @Reese10Angel Lsu had the better team but the best player was caitlin,"[6777, 2026, 3302, 1655, 340]","[5208, 14463, 3846, 5200, 5701]",1,2
14489,14489,14489,@CarterAntFan @Reese10Angel 😂😂😭😭,"[2630, 2681, 7161, 2202, 1923]","[3806, 3012, 19317, 3461, 4082]",0,2
14490,14490,14490,@Emmmyalluu @BleacherReport @Reese10Angel Bro what she’s 20 and he’s 23. You have issues.,"[5529, 1871, 186, 3179, 1748]","[14495, 4976, 6111, 3518, 5699]",0,2
14491,14491,14491,@49er4Ler @FoolioLocoGuapo @gulinod513 @ChesterPitts @mikewickett @SportsCenter @Reese10Angel @CaitlinClark22 then why are you tagging me with Caitlin saying she doesnt care? that has 0 to do with the racist allegations. if you think it’s racist or sexist then idk what to tell you other athletes have been criticized for unsportsmanlike actions. Pretending context doesn’t matter isnt cool,"[4643, 2638, 6579, 8484, 854]","[14141, 9797, 2720, 19572, 15088]",0,2
14492,14492,14492,@samtrevlicrow @Reese10Angel U do otherwise you wouldn’t have commented ma’am!,"[373, 8099, 4695, 612, 4620]","[6780, 4152, 15477, 5540, 3560]",1,2
14493,14493,14493,@shannonmichele_ @BleacherReport @Reese10Angel You ain’t lying smh,"[812, 2178, 8015, 7273, 3179]","[5669, 5573, 3107, 17534, 4049]",0,1
14494,14494,14494,@OneOldMarine55 @hatethepackers2 @FoxNews @Reese10Angel Name me a place or time in history where black folks have had it better than the current day United States? I’ll wait~,"[3479, 7581, 5602, 5166, 3496]","[2924, 3166, 13099, 6141, 6603]",1,2
14495,14495,14495,@thebutlerburner @BleacherReport @Reese10Angel Reese is Stalin cause she actually won something,"[37, 6348, 6777, 1923, 2665]","[18679, 4239, 6949, 5415, 1548]",0,1
14496,14496,14496,@BleacherReport @Reese10Angel Obviously it’s all for attention,"[3073, 3179, 6777, 2666, 1788]","[2444, 3461, 6605, 6026, 6321]",0,2
14497,14497,14497,@seahawksfan2314 @Reese10Angel She’ll a loser &amp; runner up like Caitlin 🤣🤣🤣,"[6777, 1748, 2974, 2026, 5528]","[19899, 5669, 6949, 6332, 6075]",0,0
14498,14498,14498,@Commander_Playz @jayrenmg @BleacherReport @Reese10Angel seriously what does ghetto mean to y’all she’s the farthest thing from it 🤣,"[3690, 4163, 3507, 29, 2665]","[3109, 6567, 5845, 140, 5740]",0,2
14499,14499,14499,@jnez1 @Reese10Angel I don’t think Caitlin would have any problem with that.,"[2974, 3179, 1748, 4498, 4958]","[19899, 3136, 2997, 3932, 4133]",0,2
14500,14500,14500,@seungminkim @Reese10Angel @FLOTUS @POTUS Their loss.,"[6777, 5357, 3819, 4620, 5306]","[6676, 16861, 4932, 5204, 5203]",1,2
14501,14501,14501,@Reese10Angel No one gaf if a ghetto cross eyed hoe is there or not😂😂,"[3374, 1990, 8293, 6248, 6558]","[15343, 19749, 19298, 1842, 6155]",0,0
14502,14502,14502,@BleacherReport @Reese10Angel Oh my god the two cringiest people 😂😂,"[1014, 812, 8121, 6777, 2026]","[4940, 5699, 19620, 2417, 2392]",0,1
14503,14503,14503,@BleacherReport @Reese10Angel Morant asking after if she can do lapdance,"[6820, 2243, 2455, 4338, 2201]","[3086, 767, 9373, 5696, 4191]",0,1
14504,14504,14504,@Emmmyalluu @BleacherReport @Reese10Angel U a online prostitute,"[3026, 6920, 3913, 1517, 7965]","[4976, 6605, 2670, 4388, 2713]",0,0
